device,kernel
"{'time': 1244.032, 's2': {'ax': 9.344569, 'ay': -1.343147, 'wz': -0.01692037, 'az': -0.3112462, 'wx': -0.01931853, 'wy': 0.006661563}, 's3': {'ax': 9.40203, 'ay': -1.242591, 'wz': -0.01718683, 'az': -0.3495534, 'wx': -0.01838591, 'wy': 0.009459419}, 's1': {'ax': 20276, 'ay': 20084, 'wz': 20196, 'az': 20356, 'wx': 20228, 'wy': 20501}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.032, 's2': {'ax': 9.344569, 'ay': -1.343147, 'wz': -0.01692037, 'az': -0.3112462, 'wx': -0.01931853, 'wy': 0.006661563}, 's3': {'ax': 9.40203, 'ay': -1.242591, 'wz': -0.01718683, 'az': -0.3495534, 'wx': -0.01838591, 'wy': 0.009459419}, 's1': {'ax': 20276, 'ay': 20084, 'wz': 20196, 'az': 20356, 'wx': 20228, 'wy': 20501}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.092, 's2': {'ax': 9.085996, 'ay': -1.30484, 'wz': -0.01718683, 'az': -0.3280056, 'wx': -0.004663095, 'wy': 0.01265697}, 's3': {'ax': 9.114726, 'ay': -1.235408, 'wz': -0.02318224, 'az': -0.3471592, 'wx': -0.002797856, 'wy': 0.01252374}, 's1': {'ax': 24533, 'ay': 24341, 'wz': 24485, 'az': 24662, 'wx': 24806, 'wy': 24598}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.112, 's2': {'ax': 9.186552, 'ay': -1.388637, 'wz': -0.0006661562, 'az': -0.6440403, 'wx': -0.01958499, 'wy': -0.0009326189}, 's3': {'ax': 9.188946, 'ay': -1.419762, 'wz': -0.0002664625, 'az': -0.6153098, 'wx': -0.02571363, 'wy': -0.004396631}, 's1': {'ax': 24069, 'ay': 24197, 'wz': 24389, 'az': 24053, 'wx': 24469, 'wy': 24293}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.132, 's2': {'ax': 8.578424, 'ay': -1.237802, 'wz': -0.004396631, 'az': -0.1173159, 'wx': -0.001199081, 'wy': -0.002797856}, 's3': {'ax': 8.573636, 'ay': -1.23062, 'wz': -0.002264931, 'az': -0.09097966, 'wx': -0.001199081, 'wy': -0.004529862}, 's1': {'ax': 20292, 'ay': 20308, 'wz': 20340, 'az': 20148, 'wx': 20324, 'wy': 20436}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.152, 's2': {'ax': 8.492233, 'ay': -1.266533, 'wz': -0.0001332312, 'az': -0.3471592, 'wx': -0.05342573, 'wy': 0.02118377}, 's3': {'ax': 8.568848, 'ay': -1.381454, 'wz': -0.0003996938, 'az': -0.3375824, 'wx': -0.05449158, 'wy': 0.0251807}, 's1': {'ax': 19812, 'ay': 19796, 'wz': 19924, 'az': 19988, 'wx': 20116, 'wy': 19796}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.172, 's2': {'ax': 8.53054, 'ay': -1.264138, 'wz': -0.008660031, 'az': -0.617704, 'wx': -0.05369219, 'wy': 0.0294441}, 's3': {'ax': 8.540117, 'ay': -1.381454, 'wz': -0.009859112, 'az': -0.6153098, 'wx': -0.05235988, 'wy': 0.02664625}, 's1': {'ax': 21429, 'ay': 21333, 'wz': 21301, 'az': 21381, 'wx': 21525, 'wy': 21333}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.192, 's2': {'ax': 8.540117, 'ay': -1.249773, 'wz': -0.02797856, 'az': -0.3567361, 'wx': -0.04489893, 'wy': 0.02757887}, 's3': {'ax': 8.564059, 'ay': -1.23062, 'wz': -0.02997703, 'az': -0.4668693, 'wx': -0.04489893, 'wy': 0.02851149}, 's1': {'ax': 24614, 'ay': 24341, 'wz': 24405, 'az': 24213, 'wx': 24598, 'wy': 24582}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.212, 's2': {'ax': 8.520964, 'ay': -1.400608, 'wz': -0.01012558, 'az': -0.4692635, 'wx': -0.04303369, 'wy': 0.02504747}, 's3': {'ax': 8.497022, 'ay': -1.386243, 'wz': -0.008660031, 'az': -0.3854665, 'wx': -0.04489893, 'wy': 0.03357428}, 's1': {'ax': 24261, 'ay': 24229, 'wz': 24293, 'az': 24229, 'wx': 24341, 'wy': 24373}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.212, 's2': {'ax': 8.520964, 'ay': -1.400608, 'wz': -0.01012558, 'az': -0.4692635, 'wx': -0.04303369, 'wy': 0.02504747}, 's3': {'ax': 8.497022, 'ay': -1.386243, 'wz': -0.008660031, 'az': -0.3854665, 'wx': -0.04489893, 'wy': 0.03357428}, 's1': {'ax': 24261, 'ay': 24229, 'wz': 24293, 'az': 24229, 'wx': 24341, 'wy': 24373}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
