ax,ay,az,gx,gy,gz,time
-0.08252,-0.071777,-1.051758,-3.540039,-1.708984,0.427246,0.727179
-0.08252,-0.071289,-1.045898,-2.746582,-0.793457,-0.244141,0.740542
-0.084961,-0.071777,-1.043945,-2.563477,-0.610352,-0.183105,0.743691
-0.088867,-0.071777,-1.033691,-2.502441,-1.037598,-0.549316,0.757019
-0.077637,-0.076172,-1.025391,-3.112793,-1.281738,-0.976563,0.770416
-0.07959,-0.072754,-1.033691,-3.479004,-1.220703,-0.732422,0.773574
-0.068848,-0.074219,-1.04248,-3.662109,-0.244141,0.061035,0.78696
-0.070313,-0.072266,-1.046387,-3.845215,0.0,0.0,0.7901
-0.075684,-0.077637,-1.036621,-3.78418,-0.854492,0.488281,0.803333
-0.080566,-0.066895,-1.037109,-3.234863,-1.037598,0.12207,0.816673
-0.078125,-0.063477,-1.047363,-2.929688,-1.586914,0.183105,0.819803
-0.078125,-0.071289,-1.04541,-2.502441,-1.342773,0.366211,0.833161
-0.076172,-0.069336,-1.041504,-2.197266,-1.159668,0.488281,0.836293
-0.085938,-0.073242,-1.041016,-2.380371,-0.549316,0.12207,0.849614
-0.086914,-0.07666,-1.023926,-3.051758,-1.037598,-0.366211,0.862917
-0.081543,-0.076172,-1.022461,-3.295898,-1.281738,-0.305176,0.866071
-0.082031,-0.077637,-1.03125,-3.601074,0.183105,-0.549316,0.8794
-0.080566,-0.078613,-1.037598,-3.601074,0.671387,-0.549316,0.882542
-0.07666,-0.07666,-1.039063,-3.723145,1.77002,-0.671387,0.895885
-0.07373,-0.073242,-1.044434,-4.272461,0.244141,-0.244141,0.909227
-0.080566,-0.07373,-1.042969,-4.333496,-0.183105,-0.427246,0.912374
-0.071289,-0.073242,-1.049805,-4.02832,-1.403809,0.488281,0.925742
-0.075195,-0.069824,-1.05957,-4.272461,-0.915527,0.854492,0.928874
-0.088867,-0.080566,-1.071289,-2.441406,1.220703,0.854492,0.942189
-0.088379,-0.073242,-1.059082,0.12207,2.197266,0.427246,0.955509
-0.094238,-0.075195,-1.047363,0.183105,2.13623,0.183105,0.958609
-0.092285,-0.07666,-1.030273,-0.671387,1.77002,-0.549316,0.971919
-0.091309,-0.074219,-1.022949,-1.281738,1.586914,-0.366211,0.975054
-0.093262,-0.066406,-1.025391,-2.502441,0.549316,-0.12207,0.988398
-0.094238,-0.071777,-1.033203,-2.929688,0.793457,-0.610352,1.001752
-0.092285,-0.063965,-1.027344,-2.868652,1.403809,-0.427246,1.004885
-0.104492,-0.070313,-1.042969,-3.173828,2.563477,-1.342773,1.018211
-0.101563,-0.067871,-1.038086,-3.356934,2.685547,-1.403809,1.021354
-0.089355,-0.064941,-1.026367,-3.479004,1.647949,-2.075195,1.034666
-0.078125,-0.072266,-1.027344,-4.577637,0.854492,-1.831055,1.047988
-0.07373,-0.069336,-1.026855,-4.272461,1.037598,-1.403809,1.05112
