time,data,butter,laplace,gaussian,target
0.0,4034.0,4031.067103520314,5.012830251740718,4043.200378672582,3629.6750037086836
0.03,4034.0,4031.155259769992,24.472449555060543,4043.1945933718557,3631.690912108685
0.06,4034.0,4031.24005875181,61.66150933604136,4043.1824110384764,3635.4764390389
0.09,4045.0,4031.321276711353,114.40421513373926,4043.1628515540797,3640.8137280378646
0.12,4045.0,4031.398695934809,180.7071412065715,4043.1346498761022,3647.5031358561146
0.15,4045.0,4031.4721086893805,258.72118096296913,4043.0963115216373,3655.359436199966
0.18,4059.0,4031.541320680189,346.7518174106992,4043.0459313468073,3664.2128314199026
0.21,4059.0,4031.606155059185,443.26373602336537,4042.9826150755525,3673.9095591572395
0.24,4044.0,4031.66645655994,546.8170218815801,4042.9053573811693,3684.3054031742267
0.27,4044.0,4031.722091190946,656.0635303507248,4042.8140717152114,3695.2654331593503
0.3,4044.0,4031.772941548467,769.7978883467556,4042.7086928673143,3706.669011360181
0.32999999999999996,4043.0,4031.8189030474414,886.9461003624515,4042.5903939827044,3718.408771872469
0.36,4043.0,4031.859882714871,1006.5373927207002,4042.4611658482345,3730.387762028791
0.39,4043.0,4031.8957987796775,1127.6998532039079,4042.3240590604346,3742.5190302501765
0.42,4044.0,4031.9265804501074,1249.65482965296,4042.18347981535,3754.725095306917
0.44999999999999996,4044.0,4031.9521680614725,1371.7090130522952,4042.0395998827867,3766.9365957426867
0.48,4043.0,4031.972513350688,1493.2445062606664,4041.8994297533436,3779.0924042819515
0.51,4043.0,4031.987579431364,1613.7133687338928,4041.7700844971346,3791.138408868194
0.54,4043.0,4031.9973404694942,1732.6361582690904,4041.655528661039,3803.027041068609
0.57,4030.0,4032.001780633478,1849.580414831539,4041.560697242553,3814.715535714192
0.6,4030.0,4032.0008908568757,1964.156255360221,4041.4886175321003,3826.165199974733
0.63,4030.0,4031.9946640838334,2076.0458064398,4041.4417190075437,3837.3444838118016
0.6599999999999999,4095.0,4031.9830960616623,2185.0774143408726,4041.421012400014,3848.236319523419
0.69,4095.0,4031.966200389384,2291.1938112503058,4041.4262270172985,3858.834964138268
0.72,3983.0,4031.944025459393,2394.138746558636,4041.4547596954553,3869.1145709929237
0.75,3983.0,4031.916643024563,2493.480758936339,4041.501959397689,3879.0315862530533
0.78,3983.0,4031.884111253089,2588.9942559028495,4041.561275054566,3888.562842098213
0.8099999999999999,4048.0,4031.8464514301654,2680.7181301358287,4041.6240399578805,3897.7113781535036
0.84,4048.0,4031.803657002982,2768.7864853939545,4041.6795633092906,3906.48953047271
0.87,4048.0,4031.755717368701,2853.255660864095,4041.715671681272,3914.9017071494977
0.8999999999999999,4047.0,4031.702633689444,2934.111501074534,4041.718774539618,3922.945134512971
0.9299999999999999,4047.0,4031.644422653952,3011.3581687964897,4041.6739446148385,3930.618749464295
0.96,4071.0,4031.5811176255093,3085.0483619383995,4041.566439375738,3937.9263742318217
0.99,4071.0,4031.51277430152,3155.2775638906646,4041.380994642172,3944.8760752945
1.02,4071.0,4031.4394794839645,3222.11784168834,4041.1035319212906,3951.473720948135
1.05,4039.0,4031.3613550435985,3285.580370767609,4040.7210117618215,3957.7192222878216
1.08,4039.0,4031.2785516576364,3345.6520877218118,4040.2222447660324,3963.6102745748935
