time,s2,s3,s1
65.351,"{'ax': 623, 'ay': -7, 'wz': 14268, 'az': -198, 'wx': -8456, 'wy': -160}","{'ax': 591, 'ay': -114, 'wz': 14324, 'az': -193, 'wx': -8452, 'wy': -160}","{'ax': 11938, 'ay': 12242, 'wz': 11522, 'az': 12499, 'wx': 10402, 'wy': 10898}"
65.371,"{'ax': -289, 'ay': 125, 'wz': 14076, 'az': -69, 'wx': -8488, 'wy': -140}","{'ax': -265, 'ay': 127, 'wz': 14332, 'az': -68, 'wx': -8488, 'wy': -24}","{'ax': 11730, 'ay': 12066, 'wz': 11330, 'az': 12595, 'wx': 10466, 'wy': 10930}"
65.391,"{'ax': -321, 'ay': 126, 'wz': 14332, 'az': -9, 'wx': -8584, 'wy': -228}","{'ax': -321, 'ay': 118, 'wz': 14268, 'az': -6, 'wx': -8612, 'wy': -180}","{'ax': 11922, 'ay': 12242, 'wz': 11490, 'az': 12483, 'wx': 10402, 'wy': 10882}"
65.411,"{'ax': 623, 'ay': 111, 'wz': 14300, 'az': 250, 'wx': -8228, 'wy': -28}","{'ax': 718, 'ay': 111, 'wz': 14300, 'az': 239, 'wx': -8364, 'wy': -140}","{'ax': 11874, 'ay': 12210, 'wz': 11506, 'az': 12483, 'wx': 10450, 'wy': 10914}"
65.431,"{'ax': 702, 'ay': -65, 'wz': 14172, 'az': -65, 'wx': -8208, 'wy': -20}","{'ax': 699, 'ay': -74, 'wz': 14076, 'az': -73, 'wx': -8264, 'wy': -4}","{'ax': 11842, 'ay': 12162, 'wz': 11458, 'az': 12595, 'wx': 10610, 'wy': 11042}"
65.451,"{'ax': -362, 'ay': 122, 'wz': 14156, 'az': -66, 'wx': -8196, 'wy': -44}","{'ax': -361, 'ay': 127, 'wz': 13932, 'az': -66, 'wx': -8196, 'wy': -12}","{'ax': 11826, 'ay': 12146, 'wz': 11458, 'az': 12435, 'wx': 10594, 'wy': 11058}"
65.471,"{'ax': -257, 'ay': 255, 'wz': 13820, 'az': -49, 'wx': -8332, 'wy': -20}","{'ax': -259, 'ay': 251, 'wz': 14184, 'az': -146, 'wx': -8284, 'wy': -3692}","{'ax': 11970, 'ay': 12274, 'wz': 11346, 'az': 12563, 'wx': 10450, 'wy': 10930}"
65.491,"{'ax': -135, 'ay': 221, 'wz': 13756, 'az': -1, 'wx': -8208, 'wy': -132}","{'ax': -129, 'ay': 231, 'wz': 13756, 'az': -5, 'wx': -8200, 'wy': -136}","{'ax': 11890, 'ay': 12307, 'wz': 11410, 'az': 12563, 'wx': 10514, 'wy': 10978}"
65.511,"{'ax': -129, 'ay': -1, 'wz': 13772, 'az': -1, 'wx': -8196, 'wy': -4}","{'ax': -145, 'ay': 21, 'wz': 13804, 'az': -9, 'wx': -8212, 'wy': -52}","{'ax': 11938, 'ay': 12242, 'wz': 11570, 'az': 12515, 'wx': 10514, 'wy': 11170}"
65.531,"{'ax': -35, 'ay': -15, 'wz': 13744, 'az': -1, 'wx': -8420, 'wy': -132}","{'ax': -9, 'ay': -37, 'wz': 13716, 'az': -17, 'wx': -8260, 'wy': -136}","{'ax': 11938, 'ay': 12242, 'wz': 11586, 'az': 12563, 'wx': 10738, 'wy': 11186}"
65.551,"{'ax': 741, 'ay': -74, 'wz': 14248, 'az': -49, 'wx': -8332, 'wy': -76}","{'ax': 636, 'ay': -65, 'wz': 14320, 'az': -68, 'wx': -8332, 'wy': -12}","{'ax': 12002, 'ay': 12291, 'wz': 11666, 'az': 12563, 'wx': 10594, 'wy': 11266}"
65.571,"{'ax': -194, 'ay': -18, 'wz': 14324, 'az': -23, 'wx': -8244, 'wy': -164}","{'ax': -198, 'ay': -18, 'wz': 14320, 'az': -34, 'wx': -8212, 'wy': -168}","{'ax': 11906, 'ay': 12467, 'wz': 11538, 'az': 12707, 'wx': 10706, 'wy': 11154}"
65.591,"{'ax': -386, 'ay': 237, 'wz': 14300, 'az': -73, 'wx': -8452, 'wy': -120}","{'ax': -385, 'ay': 247, 'wz': 14312, 'az': -33, 'wx': -8452, 'wy': -20}","{'ax': 11986, 'ay': 12307, 'wz': 11618, 'az': 12771, 'wx': 10786, 'wy': 11218}"
65.611,"{'ax': -449, 'ay': 29, 'wz': 13660, 'az': -67, 'wx': -8204, 'wy': -24}","{'ax': -450, 'ay': 25, 'wz': 13772, 'az': -65, 'wx': -8420, 'wy': -212}","{'ax': 12274, 'ay': 12531, 'wz': 11698, 'az': 12771, 'wx': 10866, 'wy': 11282}"
65.631,"{'ax': -17, 'ay': -20, 'wz': 14332, 'az': -13, 'wx': -8712, 'wy': -20}","{'ax': -15, 'ay': -1, 'wz': 14308, 'az': -33, 'wx': -8660, 'wy': -68}","{'ax': 12178, 'ay': 12451, 'wz': 11842, 'az': 12723, 'wx': 11074, 'wy': 11474}"
65.651,"{'ax': 631, 'ay': 377, 'wz': 14076, 'az': -19, 'wx': -8256, 'wy': -132}","{'ax': 565, 'ay': 371, 'wz': 14156, 'az': -35, 'wx': -8352, 'wy': -36}","{'ax': 12258, 'ay': 12531, 'wz': 11954, 'az': 12771, 'wx': 10946, 'wy': 11602}"
65.671,"{'ax': -257, 'ay': 249, 'wz': 14076, 'az': -139, 'wx': -8228, 'wy': -52}","{'ax': -393, 'ay': 233, 'wz': 14076, 'az': -137, 'wx': -8196, 'wy': -4}","{'ax': 12178, 'ay': 12675, 'wz': 11826, 'az': 12867, 'wx': 11074, 'wy': 11458}"
65.691,"{'ax': -325, 'ay': 173, 'wz': 14232, 'az': -131, 'wx': -8212, 'wy': -20}","{'ax': -273, 'ay': 173, 'wz': 14240, 'az': -136, 'wx': -8196, 'wy': -260}","{'ax': 12371, 'ay': 12611, 'wz': 12082, 'az': 12851, 'wx': 11058, 'wy': 11506}"
65.711,"{'ax': 639, 'ay': -9, 'wz': 13820, 'az': -15, 'wx': -8716, 'wy': -132}","{'ax': 638, 'ay': -9, 'wz': 13820, 'az': -1, 'wx': -8716, 'wy': -132}","{'ax': 12451, 'ay': 12723, 'wz': 12194, 'az': 12931, 'wx': 11218, 'wy': 11634}"
65.731,"{'ax': -1, 'ay': -7, 'wz': 14192, 'az': -33, 'wx': -8592, 'wy': -84}","{'ax': -10, 'ay': -2, 'wz': 14192, 'az': -33, 'wx': -8592, 'wy': -84}","{'ax': 12515, 'ay': 12739, 'wz': 12242, 'az': 12947, 'wx': 11298, 'wy': 11778}"
65.751,"{'ax': -355, 'ay': 155, 'wz': 14332, 'az': -44, 'wx': -8244, 'wy': -72}","{'ax': -355, 'ay': 155, 'wz': 14332, 'az': -44, 'wx': -8232, 'wy': -72}","{'ax': 12595, 'ay': 12819, 'wz': 12098, 'az': 13027, 'wx': 11346, 'wy': 11730}"
65.771,"{'ax': -257, 'ay': 253, 'wz': 14232, 'az': -166, 'wx': -8324, 'wy': -88}","{'ax': -17, 'ay': 143, 'wz': 14296, 'az': -130, 'wx': -8268, 'wy': -124}","{'ax': 12531, 'ay': 12771, 'wz': 12274, 'az': 12995, 'wx': 11314, 'wy': 11682}"
65.791,"{'ax': 606, 'ay': 94, 'wz': 14328, 'az': -129, 'wx': -8196, 'wy': -36}","{'ax': 573, 'ay': 115, 'wz': 14332, 'az': -147, 'wx': -8388, 'wy': -40}","{'ax': 12499, 'ay': 12755, 'wz': 12226, 'az': 12947, 'wx': 11314, 'wy': 11938}"
65.811,"{'ax': -386, 'ay': 127, 'wz': 14280, 'az': -18, 'wx': -8232, 'wy': -56}","{'ax': -425, 'ay': 203, 'wz': 14292, 'az': -131, 'wx': -8212, 'wy': -24}","{'ax': 12451, 'ay': 12947, 'wz': 12210, 'az': 13155, 'wx': 11522, 'wy': 11874}"
65.831,"{'ax': -75, 'ay': 159, 'wz': 13788, 'az': -177, 'wx': -8216, 'wy': -132}","{'ax': -25, 'ay': 255, 'wz': 13692, 'az': -177, 'wx': -8200, 'wy': -164}","{'ax': 12563, 'ay': 12803, 'wz': 12291, 'az': 12995, 'wx': 11442, 'wy': 11986}"
65.851,"{'ax': -353, 'ay': 137, 'wz': 14076, 'az': -147, 'wx': -8204, 'wy': -132}","{'ax': -331, 'ay': 251, 'wz': 14252, 'az': -129, 'wx': -8244, 'wy': -164}","{'ax': 12531, 'ay': 12787, 'wz': 12274, 'az': 12979, 'wx': 11410, 'wy': 11954}"
65.871,"{'ax': 564, 'ay': -165, 'wz': 13816, 'az': -153, 'wx': -8196, 'wy': -268}","{'ax': 575, 'ay': -133, 'wz': 13784, 'az': -132, 'wx': -8196, 'wy': -4}","{'ax': 12467, 'ay': 12723, 'wz': 12178, 'az': 12947, 'wx': 11474, 'wy': 11874}"
65.891,"{'ax': -40, 'ay': -1, 'wz': 13932, 'az': -129, 'wx': -8268, 'wy': -212}","{'ax': -145, 'ay': -21, 'wz': 14072, 'az': -131, 'wx': -8204, 'wy': -212}","{'ax': 12563, 'ay': 12803, 'wz': 12274, 'az': 12995, 'wx': 11362, 'wy': 11730}"
65.911,"{'ax': -275, 'ay': -65, 'wz': 13820, 'az': -167, 'wx': -8196, 'wy': -132}","{'ax': -257, 'ay': -68, 'wz': 14168, 'az': -167, 'wx': -8232, 'wy': -100}","{'ax': 12563, 'ay': 12803, 'wz': 12291, 'az': 12995, 'wx': 11346, 'wy': 11730}"
65.931,"{'ax': -5, 'ay': -5, 'wz': 13820, 'az': -145, 'wx': -8272, 'wy': -40}","{'ax': -209, 'ay': -9, 'wz': 13692, 'az': -129, 'wx': -8196, 'wy': -132}","{'ax': 12467, 'ay': 12707, 'wz': 12178, 'az': 12963, 'wx': 11474, 'wy': 11858}"
65.951,"{'ax': -338, 'ay': -17, 'wz': 14172, 'az': -194, 'wx': -8324, 'wy': -132}","{'ax': -337, 'ay': -45, 'wz': 14244, 'az': -197, 'wx': -8328, 'wy': -168}","{'ax': 12403, 'ay': 12675, 'wz': 12146, 'az': 12899, 'wx': 11362, 'wy': 11810}"
65.971,"{'ax': -210, 'ay': -1, 'wz': 13820, 'az': -6, 'wx': -8216, 'wy': -148}","{'ax': -193, 'ay': -2, 'wz': 13820, 'az': -17, 'wx': -8344, 'wy': -68}","{'ax': 12323, 'ay': 12611, 'wz': 12018, 'az': 13059, 'wx': 11282, 'wy': 11682}"
65.991,"{'ax': -257, 'ay': 121, 'wz': 14204, 'az': -133, 'wx': -8244, 'wy': -148}","{'ax': -257, 'ay': 127, 'wz': 14204, 'az': -131, 'wx': -8260, 'wy': -148}","{'ax': 12291, 'ay': 12563, 'wz': 11986, 'az': 13059, 'wx': 11234, 'wy': 11650}"
66.011,"{'ax': -194, 'ay': -81, 'wz': 13784, 'az': -133, 'wx': -8300, 'wy': -144}","{'ax': -209, 'ay': -3, 'wz': 13732, 'az': -9, 'wx': -8324, 'wy': -164}","{'ax': 12291, 'ay': 12563, 'wz': 12002, 'az': 13059, 'wx': 11282, 'wy': 11666}"
66.031,"{'ax': -266, 'ay': -165, 'wz': 14164, 'az': -164, 'wx': -8408, 'wy': -32}","{'ax': -365, 'ay': -193, 'wz': 14036, 'az': -129, 'wx': -8212, 'wy': -108}","{'ax': 12387, 'ay': 12643, 'wz': 12082, 'az': 12851, 'wx': 11154, 'wy': 11698}"
66.051,"{'ax': 501, 'ay': -324, 'wz': 14324, 'az': -9, 'wx': -8196, 'wy': -324}","{'ax': 463, 'ay': -325, 'wz': 13692, 'az': -11, 'wx': -8264, 'wy': -264}","{'ax': 12371, 'ay': 12627, 'wz': 12082, 'az': 12867, 'wx': 11074, 'wy': 11522}"
66.071,"{'ax': -257, 'ay': -1, 'wz': 13916, 'az': -239, 'wx': -8484, 'wy': -260}","{'ax': -261, 'ay': -9, 'wz': 13916, 'az': -270, 'wx': -8484, 'wy': -260}","{'ax': 12291, 'ay': 12563, 'wz': 12002, 'az': 12803, 'wx': 10994, 'wy': 11586}"
66.091,"{'ax': -133, 'ay': -305, 'wz': 13720, 'az': -129, 'wx': -8568, 'wy': -300}","{'ax': -117, 'ay': -290, 'wz': 13756, 'az': -69, 'wx': -8456, 'wy': -276}","{'ax': 12226, 'ay': 12675, 'wz': 11826, 'az': 12883, 'wx': 11026, 'wy': 11442}"
66.111,"{'ax': -193, 'ay': -65, 'wz': 13796, 'az': -73, 'wx': -8268, 'wy': -324}","{'ax': -201, 'ay': -65, 'wz': 13800, 'az': -41, 'wx': -8452, 'wy': -280}","{'ax': 12274, 'ay': 12547, 'wz': 11954, 'az': 12771, 'wx': 10978, 'wy': 11586}"
66.131,"{'ax': -12, 'ay': -69, 'wz': 13756, 'az': -195, 'wx': -8484, 'wy': -8}","{'ax': -225, 'ay': -65, 'wz': 13748, 'az': -215, 'wx': -8212, 'wy': -268}","{'ax': 12194, 'ay': 12627, 'wz': 11858, 'az': 12867, 'wx': 11090, 'wy': 11506}"
66.151,"{'ax': -10, 'ay': -36, 'wz': 14332, 'az': -130, 'wx': -8332, 'wy': -24}","{'ax': -5, 'ay': -9, 'wz': 14328, 'az': -138, 'wx': -8460, 'wy': -24}","{'ax': 12178, 'ay': 12643, 'wz': 11778, 'az': 12867, 'wx': 11010, 'wy': 11426}"
