time,MRU1,MRU2
0.409199,"{'ax': 1604, 'ay': 1584, 'az': 13080, 'gx': -3512, 'gy': -2247, 'gz': -2041}","{'ax': -0.11084, 'ay': -0.104004, 'az': -0.854004, 'gx': 25.93994, 'gy': 5.371094, 'gz': 10.0708}"
0.425431,"{'ax': 2344, 'ay': 1424, 'az': 11996, 'gx': -3143, 'gy': 2279, 'gz': -679}","{'ax': -0.115234, 'ay': -0.085449, 'az': -0.812012, 'gx': 22.15576, 'gy': -28.38135, 'gz': -1.342773}"
0.441639,"{'ax': 1264, 'ay': 460, 'az': 12060, 'gx': -2395, 'gy': 5574, 'gz': 745}","{'ax': -0.056152, 'ay': -0.027344, 'az': -0.84668, 'gx': 15.56396, 'gy': -49.68262, 'gz': -11.41357}"
0.457874,"{'ax': -872, 'ay': -412, 'az': 13392, 'gx': -1648, 'gy': 6188, 'gz': 1501}","{'ax': 0.041016, 'ay': 0.025879, 'az': -0.936523, 'gx': 9.216309, 'gy': -51.3916, 'gz': -16.29639}"
0.474074,"{'ax': -2548, 'ay': -1336, 'az': 14072, 'gx': -577, 'gy': 4918, 'gz': 2044}","{'ax': 0.125488, 'ay': 0.076172, 'az': -0.976074, 'gx': 0.488281, 'gy': -40.58838, 'gz': -19.40918}"
0.490265,"{'ax': -4104, 'ay': -1832, 'az': 13912, 'gx': 827, 'gy': 3633, 'gz': 2109}","{'ax': 0.177734, 'ay': 0.103516, 'az': -1.012695, 'gx': -11.23047, 'gy': -32.04346, 'gz': -18.00537}"
0.506498,"{'ax': -4916, 'ay': -1896, 'az': 14988, 'gx': 2523, 'gy': 2749, 'gz': 1578}","{'ax': 0.210449, 'ay': 0.116211, 'az': -1.063477, 'gx': -22.52197, 'gy': -24.78027, 'gz': -12.81738}"
0.522759,"{'ax': -4708, 'ay': -1752, 'az': 16076, 'gx': 3250, 'gy': 1859, 'gz': 1134}","{'ax': 0.19873, 'ay': 0.103516, 'az': -1.076172, 'gx': -26.85547, 'gy': -19.104, 'gz': -8.972168}"
0.53898,"{'ax': -4940, 'ay': -1496, 'az': 17376, 'gx': 2810, 'gy': 1444, 'gz': 321}","{'ax': 0.18457, 'ay': 0.088867, 'az': -1.092285, 'gx': -21.60645, 'gy': -16.35742, 'gz': -2.441406}"
0.555179,"{'ax': -4692, 'ay': -912, 'az': 18328, 'gx': 1685, 'gy': 1250, 'gz': -843}","{'ax': 0.16748, 'ay': 0.04834, 'az': -1.122559, 'gx': -12.20703, 'gy': -14.83154, 'gz': 6.164551}"
0.571353,"{'ax': -3652, 'ay': -96, 'az': 18980, 'gx': 142, 'gy': 1214, 'gz': -1643}","{'ax': 0.125, 'ay': -0.009277, 'az': -1.146973, 'gx': 0.915527, 'gy': -14.77051, 'gz': 10.68115}"
0.587569,"{'ax': -2632, 'ay': 668, 'az': 19124, 'gx': -1736, 'gy': 1037, 'gz': -1878}","{'ax': 0.09082, 'ay': -0.050781, 'az': -1.149414, 'gx': 14.77051, 'gy': -13.06152, 'gz': 10.43701}"
0.603769,"{'ax': -1668, 'ay': 1092, 'az': 18744, 'gx': -3127, 'gy': 550, 'gz': -1347}","{'ax': 0.069824, 'ay': -0.064941, 'az': -1.143555, 'gx': 24.35303, 'gy': -8.422852, 'gz': 4.882813}"
0.619956,"{'ax': -1340, 'ay': 960, 'az': 16964, 'gx': -3883, 'gy': -46, 'gz': -361}","{'ax': 0.069336, 'ay': -0.057129, 'az': -1.064941, 'gx': 29.11377, 'gy': -4.821777, 'gz': -3.112793}"
0.636178,"{'ax': -1944, 'ay': 152, 'az': 15180, 'gx': -3926, 'gy': 394, 'gz': 410}","{'ax': 0.09082, 'ay': -0.008301, 'az': -0.999512, 'gx': 28.07617, 'gy': -8.972168, 'gz': -8.422852}"
0.652351,"{'ax': -2644, 'ay': -540, 'az': 13816, 'gx': -3212, 'gy': 726, 'gz': 781}","{'ax': 0.123535, 'ay': 0.028809, 'az': -0.964844, 'gx': 21.05713, 'gy': -11.1084, 'gz': -10.74219}"
0.668545,"{'ax': -3328, 'ay': -1188, 'az': 12996, 'gx': -1838, 'gy': 948, 'gz': 979}","{'ax': 0.149902, 'ay': 0.069336, 'az': -0.938477, 'gx': 9.94873, 'gy': -12.08496, 'gz': -10.98633}"
0.684763,"{'ax': -3724, 'ay': -1580, 'az': 12500, 'gx': -189, 'gy': 1286, 'gz': 814}","{'ax': 0.158691, 'ay': 0.092285, 'az': -0.924316, 'gx': -2.624512, 'gy': -16.11328, 'gz': -8.666992}"
0.700969,"{'ax': -4060, 'ay': -1720, 'az': 13540, 'gx': 1142, 'gy': 1888, 'gz': 412}","{'ax': 0.169434, 'ay': 0.105469, 'az': -0.948242, 'gx': -11.2915, 'gy': -19.65332, 'gz': -4.150391}"
0.717172,"{'ax': -4384, 'ay': -1604, 'az': 14872, 'gx': 1725, 'gy': 1541, 'gz': -269}","{'ax': 0.178711, 'ay': 0.089355, 'az': -1.000977, 'gx': -14.70947, 'gy': -16.72363, 'gz': 1.098633}"
0.733346,"{'ax': -4068, 'ay': -892, 'az': 16108, 'gx': 1736, 'gy': 835, 'gz': -732}","{'ax': 0.176758, 'ay': 0.050781, 'az': -1.044922, 'gx': -13.97705, 'gy': -10.49805, 'gz': 4.211426}"
0.749585,"{'ax': -3544, 'ay': -656, 'az': 16960, 'gx': 1338, 'gy': 21, 'gz': -804}","{'ax': 0.150879, 'ay': 0.032227, 'az': -1.071289, 'gx': -10.80322, 'gy': -4.760742, 'gz': 4.394531}"
0.765781,"{'ax': -3212, 'ay': -384, 'az': 16888, 'gx': 666, 'gy': -192, 'gz': -784}","{'ax': 0.132324, 'ay': 0.012695, 'az': -1.071289, 'gx': -5.432129, 'gy': -4.089355, 'gz': 3.662109}"
0.781969,"{'ax': -2668, 'ay': -108, 'az': 16572, 'gx': 104, 'gy': 95, 'gz': -473}","{'ax': 0.124023, 'ay': 0.001465, 'az': -1.064453, 'gx': -1.586914, 'gy': -6.04248, 'gz': 0.732422}"
0.798134,"{'ax': -3092, 'ay': -448, 'az': 16520, 'gx': -229, 'gy': 155, 'gz': -111}","{'ax': 0.138184, 'ay': 0.022949, 'az': -1.070801, 'gx': 0.549316, 'gy': -6.04248, 'gz': -2.441406}"
0.814324,"{'ax': -3832, 'ay': -832, 'az': 16192, 'gx': -414, 'gy': -200, 'gz': -139}","{'ax': 0.157227, 'ay': 0.050781, 'az': -1.053223, 'gx': 1.89209, 'gy': -3.540039, 'gz': -1.098633}"
