time,s2,s3,s1
242.268,"{'ax': -1.228225, 'ay': -7.972692, 'wz': 0.03264165, 'az': 3.526659, 'wx': 0.2711256, 'wy': 0.009725882}","{'ax': -1.237802, 'ay': -7.970297, 'wz': 0.03397397, 'az': 3.660734, 'wx': 0.214902, 'wy': 0.0337075}","{'ax': 11810, 'ay': 12114, 'wz': 11170, 'az': 12403, 'wx': 10226, 'wy': 10706}"
242.288,"{'ax': -1.23062, 'ay': -7.433996, 'wz': 0.02478101, 'az': 9.727641, 'wx': 0.7382344, 'wy': -0.01945176}","{'ax': -1.23062, 'ay': -7.357382, 'wz': 0.03384073, 'az': 5.274426, 'wx': 0.7607504, 'wy': -0.0002664625}","{'ax': 11570, 'ay': 11938, 'wz': 11170, 'az': 12242, 'wx': 10178, 'wy': 10738}"
242.308,"{'ax': -1.438915, 'ay': -7.405266, 'wz': 0.1288346, 'az': 6.988675, 'wx': 0.8120444, 'wy': -0.1450888}","{'ax': -1.414973, 'ay': -7.398083, 'wz': 0.1277688, 'az': 7.036559, 'wx': 0.8139096, 'wy': -0.144023}","{'ax': 11666, 'ay': 12002, 'wz': 11026, 'az': 12274, 'wx': 9970, 'wy': 10514}"
242.328,"{'ax': -1.256956, 'ay': -4.939238, 'wz': 0.129634, 'az': 7.960721, 'wx': 1.061453, 'wy': -0.0358392}","{'ax': -1.237802, 'ay': -4.920084, 'wz': 0.1316325, 'az': 7.965509, 'wx': 1.087034, 'wy': -0.04276723}","{'ax': 11554, 'ay': 11906, 'wz': 11138, 'az': 12226, 'wx': 9954, 'wy': 10690}"
242.348,"{'ax': -1.960851, 'ay': -6.897695, 'wz': 0.05102757, 'az': 8.578424, 'wx': 0.5407857, 'wy': 0.01558806}","{'ax': -1.956063, 'ay': -6.897695, 'wz': 0.04556509, 'az': 8.540117, 'wx': 0.5263967, 'wy': 0.01212404}","{'ax': 11762, 'ay': 12066, 'wz': 11298, 'az': 12355, 'wx': 10146, 'wy': 10674}"
242.368,"{'ax': -1.999158, 'ay': -6.347029, 'wz': -0.0001332312, 'az': 8.310274, 'wx': 0.2551378, 'wy': -0.06435069}","{'ax': -2.013524, 'ay': -6.323087, 'wz': -0.006661563, 'az': 8.23366, 'wx': 0.2727244, 'wy': -0.06115314}","{'ax': 11682, 'ay': 12002, 'wz': 11314, 'az': 12291, 'wx': 10146, 'wy': 10898}"
242.388,"{'ax': -1.917756, 'ay': -6.821081, 'wz': -0.0006661562, 'az': 8.559271, 'wx': -0.02158346, 'wy': -0.01398928}","{'ax': -1.99437, 'ay': -6.76362, 'wz': -0.0003996938, 'az': 8.50181, 'wx': -0.03450689, 'wy': -0.008926495}","{'ax': 11650, 'ay': 11970, 'wz': 11266, 'az': 12242, 'wx': 10050, 'wy': 10802}"
242.408,"{'ax': -1.84593, 'ay': -7.012617, 'wz': -0.00319755, 'az': 8.3821, 'wx': -0.05982082, 'wy': -0.01905207}","{'ax': -1.84593, 'ay': -6.993463, 'wz': -0.00106585, 'az': 8.516175, 'wx': -0.2737902, 'wy': -0.01851914}","{'ax': 11474, 'ay': 11842, 'wz': 11058, 'az': 12194, 'wx': 10098, 'wy': 10594}"
242.428,"{'ax': -1.410185, 'ay': -7.129933, 'wz': -0.07101225, 'az': 7.338228, 'wx': -0.4164808, 'wy': 0.06808116}","{'ax': -1.388637, 'ay': -4.908113, 'wz': -0.07274425, 'az': 7.347805, 'wx': -0.4138163, 'wy': 0.07154518}","{'ax': 11586, 'ay': 11938, 'wz': 11234, 'az': 12226, 'wx': 9986, 'wy': 10562}"
242.448,"{'ax': -1.285686, 'ay': -7.36217, 'wz': -0.02571363, 'az': 6.73489, 'wx': -0.4352664, 'wy': 0.1225727}","{'ax': -1.35033, 'ay': -7.357382, 'wz': -0.0277121, 'az': 6.43322, 'wx': -0.435533, 'wy': 0.1277688}","{'ax': 11714, 'ay': 12034, 'wz': 11346, 'az': 12307, 'wx': 10146, 'wy': 10626}"
