t,ax,ay,az,wx,wy,wz
9.451,-0.361349,-0.306563,0.290396,2800,13648,-14208
9.545,-9.81,9.809701,7.05004,19372,32767,-32768
9.633,-9.81,8.613988,5.01098,400,-32768,3352
9.718,-9.81,5.26545,0.535586,12548,-3344,12436
9.806,7.58832,-3.928431,-0.762514,7456,5748,13604
9.896,-1.218766,-0.771496,-1.577719,80,-5988,17696
9.987,-0.826282,-1.037043,-1.331631,4004,8220,14596
10.08,1.343307,-0.993634,-0.242196,3060,1596,15548
10.172,-0.871787,0.173938,0.099094,2708,3528,15268
10.264,-0.279918,-0.134121,0.161364,3808,7140,14684
10.356,-0.118853,-0.460443,-0.460143,1560,2136,15712
10.449,0.248483,-0.835263,-1.693279,3148,2912,15008
10.542,0.232616,-1.440006,2.869234,4172,5476,15012
10.633,0.453557,-0.895139,-0.4326,4200,4560,14580
10.724,1.818419,-1.222957,0.204774,6944,8372,12500
10.816,-1.393003,-0.467628,-0.960104,4616,6384,13988
10.909,0.360151,-1.890569,-1.804348,5864,2556,14528
11.002,1.198707,-1.105002,-0.900827,7688,11548,11084
11.095,-1.515149,-0.342787,-0.626597,7084,5576,12388
11.188,-0.140707,-1.331332,-2.016607,8112,8900,12400
11.283,-0.14909,-0.50475,-1.009501,5260,9716,11912
11.374,0.707728,-0.837359,-0.193997,6180,8244,11892
11.467,-0.451162,-0.560435,-0.294887,7348,10040,10700
11.561,0.691861,-1.474434,-1.359473,8096,11760,10876
11.654,-6.235733,2.771637,2.135759,5444,14916,9396
11.746,-6.139034,1.713637,-0.176034,6100,-2128,14052
11.84,-4.709806,3.312612,1.224154,4296,488,15400
11.93,1.180146,0.981958,0.807122,-380,-4896,16104
12.02,0.25986,1.0101,1.093626,2720,1608,15168
12.106,9.809701,-2.705773,9.809701,-24768,-32768,8624
12.201,9.809701,-9.81,-6.271958,10704,32767,-32768
12.292,-9.81,8.158335,-1.946253,-7924,4996,-24984
12.382,9.809701,-1.635798,1.816024,1448,9944,-7632
12.475,-3.955375,0.838556,-0.568817,5460,17264,-9876
12.568,5.310058,-4.523893,-1.162183,780,12620,-3172
12.661,4.547244,-2.700385,-1.569636,8492,16116,-19224
12.755,0.627795,-1.271755,1.189726,-6508,12444,-13944
12.849,-2.769241,1.845961,7.707472,7024,14856,-16840
12.944,-4.856801,1.288221,-0.661025,1676,9800,-10980
13.037,6.207292,-1.852548,-1.887275,-2776,6888,-11220
13.132,-6.945557,-4.782256,-9.81,7124,22888,-2888
13.222,-0.297881,0.871188,0.094903,1088,9340,-9260
13.313,0.999322,0.361349,0.03832,-1012,10544,-11140
13.406,-0.767604,-0.65414,-2.549199,3688,14260,-9848
13.5,-1.910028,-1.411864,-8.207433,-4980,2576,-12816
13.594,3.406317,6.353987,2.5968,6712,15988,-19964
13.684,-9.693842,3.894601,-8.139174,11540,5796,-18164
13.778,-6.240224,9.809701,-1.446293,1204,6096,-15844
13.872,-2.513872,2.751279,-9.649534,-5596,19952,-5884
13.967,-0.94723,2.148632,-2.479743,-11300,14008,-328
14.061,3.257227,9.809701,9.809701,11484,4504,-8468
14.152,-6.409671,8.197554,-1.333727,3600,19588,-5896
14.245,0.940943,4.371809,-0.549956,5684,16152,-2624
14.338,-8.057445,9.809701,0.748743,6096,18832,-10228
14.431,-9.81,6.783893,-3.665578,-9372,15404,4168
14.52,-9.81,-9.81,-9.81,-22208,7800,-6156
14.603,4.437373,-9.81,-9.81,17484,21744,-32768
14.69,-9.81,3.806584,-0.53379,31244,12424,-25520
14.78,8.316107,1.007704,-8.704699,2468,11404,-12464
14.873,-9.81,9.809701,-5.930069,14224,13968,-19288
14.964,-0.68767,9.809701,1.703458,-9980,5592,2368
15.055,0.073347,8.766371,-4.105662,6752,16904,-2040
15.147,9.809701,9.809701,8.981024,-9408,15108,-6488
15.239,1.229843,7.491921,-1.228944,3244,22052,-8412
15.333,-2.065704,7.151828,-1.200803,2160,22052,-7000
15.426,-9.81,5.721103,0.323627,-1192,22696,-4196
15.515,-9.81,-9.81,-7.786808,-18984,17368,-9644
15.604,1.315165,-9.81,-9.81,11888,1836,-32768
15.69,7.99248,0.578098,-3.317102,26620,14896,-30912
15.782,2.147434,2.680027,-3.312312,-4756,10248,-12752
15.877,-4.079317,0.109572,-8.937016,18128,14476,-19444
15.973,-1.653761,8.139474,-3.075804,-2904,5208,-6676
16.067,-0.027243,2.527644,-6.085445,8144,19336,-10448
16.161,-9.81,7.255113,-5.299879,4840,15028,-10132
16.251,-3.140769,6.888376,-2.983596,-4376,6672,-1940
16.345,5.454657,6.6366,2.440525,-2752,23872,-3676
16.435,-9.671988,2.969824,0.97148,-6592,26504,-1176
16.529,-9.81,-9.81,-3.01024,-10708,14968,-392
16.615,-3.817362,-9.81,-3.09227,9896,-14464,3060
16.704,9.809701,-9.81,-7.873927,4196,-1868,-14204
16.795,9.809701,-1.118774,-3.353926,18052,19772,-28692
16.89,-4.249064,0.276924,-5.36664,6160,5468,-7328
16.98,3.353626,-4.585265,-3.607199,2180,2220,-9188
17.072,4.055666,-2.073788,-0.939746,5552,16140,-19424
17.167,-6.096522,0.191003,-1.366359,2972,7904,-16100
17.261,-6.615643,5.056785,-1.963317,7492,23420,-32404
17.355,-9.81,6.754554,-2.461481,7692,-5456,-9980
17.444,9.809701,-9.81,-7.235055,-30820,-32768,-9352
17.537,-9.81,9.809701,2.869832,27172,32767,-32768
17.627,-9.81,9.809701,9.809701,-13444,-32768,8128
17.718,9.809701,-9.81,-7.58383,20596,32767,-32768
17.809,-9.81,9.809701,3.040478,-25652,-25848,-14080
17.901,9.809701,-9.81,-4.216133,8908,27380,-32768
17.992,-9.81,5.728288,-1.975891,-2480,10004,-11228
18.083,9.809701,-4.508026,-0.094903,-3148,10556,-13420
18.178,-4.587061,1.638194,0.138312,1716,17408,-16108
18.272,5.865104,-2.490521,-0.558638,-656,8312,-12376
18.366,-3.037184,0.549956,0.451461,-32,14988,-13396
18.459,4.754713,-1.532813,1.208287,-724,5712,-15204
18.551,0.356858,0.041613,1.03854,3124,15744,-20592
18.642,-9.81,4.088598,-2.333647,9000,28748,-32768
18.733,-9.81,5.114864,-7.515572,12480,-13096,-32768
18.825,1.416355,-1.416654,-2.189048,-32768,-32768,14184
18.923,-7.840097,5.963898,2.055226,-5100,15388,11196
19.016,5.275929,-1.18314,0.197589,-9128,-700,11936
19.107,-1.26457,-0.207768,-0.908311,-7972,-2664,12240
19.202,-0.783171,-0.414937,2.487228,-16952,-6396,13816
19.297,9.809701,-9.81,-3.848797,-1152,-32768,-32768
19.391,-9.81,9.809701,6.961723,21496,32767,-32768
19.481,7.5979,-2.700385,-0.332908,-788,-13368,5368
19.572,0.897534,-1.507964,-2.283951,212,19020,-1760
19.665,4.300557,-5.169949,-9.81,13916,16436,-19180
19.756,4.931345,8.179891,1.653162,-3988,14292,-21188
19.85,-1.84207,4.250561,-1.03405,-3864,13872,-14868
19.943,-3.062631,-1.835483,-0.750839,-3384,10208,-11244
20.039,-0.445474,-5.808222,-1.079256,-688,6228,-17084
20.134,-0.459245,-3.09227,0.69246,3560,9364,-16452
20.225,1.311273,3.540438,-0.113165,1460,6872,-15936
20.318,0.602647,3.380271,-1.030158,-616,7780,-8684
20.41,2.693798,-0.728685,-2.396517,-3480,8092,-9120
20.502,4.336782,-2.720443,-1.637595,-4460,8844,-16384
20.597,2.506388,-1.067281,1.754951,-4540,11640,-20464
20.691,-4.174819,0.764011,2.376458,-6364,4840,-25756
20.785,0.326321,1.227448,2.882705,-5272,4184,-17788
20.877,0.220042,1.862427,0.171543,-2488,6952,-17440
20.97,-6.60756,2.537823,0.737067,-2148,5712,-13400
21.062,-3.69791,-0.594863,1.926793,-140,5740,-10404
21.154,2.186952,-0.170645,2.685715,4736,9772,-10936
21.247,-8.590936,-2.069297,0.924777,5716,10028,-14072
21.341,-5.42442,1.312171,1.571732,8416,12704,-7772
21.432,-1.186134,-0.073347,-4.36163,6172,12164,-7380
21.527,2.914439,6.854546,-0.920885,976,11868,-11400
21.619,4.297863,4.889133,-3.293451,-2676,13268,-12308
21.714,3.524571,1.723217,-1.04333,-2704,15804,-13956
21.807,-2.732119,-1.350492,-0.34159,-740,15900,-14004
21.901,-3.869454,-2.230961,1.001717,1868,13668,-11168
21.997,-2.070794,-2.156116,1.283431,3236,11944,-8552
22.09,0.775687,-0.732577,0.407453,3812,11524,-8920
22.182,1.110092,0.67809,-0.619412,2660,12768,-10620
22.274,0.943039,1.538501,-0.997526,1724,13976,-10908
22.367,0.193098,0.93316,-0.34638,588,14332,-10624
22.459,-0.438588,-0.424218,-0.065564,496,13308,-10776
22.553,-0.731379,-1.308579,-0.083526,1168,12704,-11132
22.649,-0.503553,-0.922681,-0.10119,2508,13504,-10652
22.743,-1.098117,-0.175136,0.01916,2236,12772,-10496
22.836,-0.253573,-0.077239,-0.226329,1672,12720,-9492
22.932,1.304986,-0.227527,-0.332309,1152,13984,-10260
23.026,0.25507,-0.21645,0.041314,652,13112,-12504
23.117,-0.885559,-0.162861,-0.045206,864,13024,-11944
23.211,-2.527644,-1.205593,-0.896336,1000,13168,-8320
23.305,2.835404,-0.224832,-0.272434,1484,13740,-11168
23.401,3.587739,2.71236,4.049679,-488,16208,-17092
23.492,-2.721042,3.209626,4.838539,-368,15908,-18692
23.586,-9.81,0.082329,6.766829,-2080,2664,-16808
23.675,-9.81,-9.81,3.480862,156,-4400,-14064
23.76,-2.525548,-9.81,-3.244054,12344,-3480,-21376
23.852,4.985832,-0.916095,4.296066,15068,12628,-23188
23.946,-8.49753,5.481002,-2.229763,11320,18432,-21536
24.042,-9.81,6.520142,-7.286249,6996,3864,-18052
24.131,-7.141949,9.809701,-5.194199,7720,5368,1580
24.222,8.869955,9.809701,-4.541256,-5968,2408,-6860
24.315,9.809701,7.085067,-3.922743,-17076,6252,-29620
24.409,-0.070054,-2.251318,-9.81,-5268,24228,-27412
24.501,-9.81,7.85776,6.653963,-6720,10664,-25980
24.592,-9.81,-0.204475,5.966293,-2184,5220,-1848
24.681,-7.567663,-9.81,-5.802833,880,-4276,788
24.768,9.809701,-9.81,-7.233558,8292,7736,-13052
24.858,0.410746,9.78156,2.90456,-3716,7180,-9912
24.947,7.962842,3.146756,-7.900271,-2620,9956,-5168
25.04,9.809701,4.24158,2.480043,-5160,13872,-13056
25.131,-2.670746,-2.215693,-1.022075,-5964,8756,-11968
25.226,-1.008603,-0.33201,-5.276827,304,11212,-10392
25.321,-1.098715,0.927771,0.598156,-456,13744,-12136
25.414,1.337319,-1.082549,0.014969,-2152,9808,-14132
25.508,-0.605641,0.209864,-0.182022,-3752,10192,-14060
25.603,-0.34129,-0.12484,-0.054187,-3612,10132,-12928
25.697,-0.279319,-0.141606,-0.077539,-3704,10160,-13192
25.795,-0.240699,-0.13951,-0.069456,-3844,10188,-13468
25.89,-0.264051,-0.11077,-0.077838,-3508,9992,-13316
25.984,-0.282612,-0.142204,-0.076341,-3632,9976,-13192
26.079,-0.261357,-0.147593,-0.082928,-3764,9956,-13260
26.176,-0.294587,-0.141306,-0.094603,-3592,9908,-13460
26.271,-0.28381,-0.130529,-0.112267,-3712,9864,-13388
26.365,-0.286804,-0.136217,-0.079634,-3648,9844,-13480
26.461,-0.312251,-0.142504,-0.084125,-3588,9904,-13308
26.557,-0.303569,-0.138312,-0.071252,-3640,9848,-13588
26.653,-0.298779,-0.138911,-0.080533,-3640,9824,-13464
26.748,-0.294288,-0.147892,-0.085023,-3680,9724,-13620
26.844,-0.316143,-0.135618,-0.082029,-3676,9716,-13464
26.94,-0.309556,-0.13951,-0.091011,-3616,9680,-13508
27.033,-0.30776,-0.151485,-0.085921,-3456,9716,-13388
27.128,-0.305066,-0.140707,-0.089514,-3556,9640,-13560
